"ar_name VARCHAR(30),","eq_slot VARCHAR(30),","base_price REAL,","ac_bonus INTEGER DEFAULT 0,","max_dex INTEGER DEFAULT -1, -- -1 if not applicable","armour_penalty INTEGER DEFAULT 0,","spell_failure INTEGER DEFAULT 0,","speed20 INTEGER DEFAULT 0,","speed30 INTEGER DEFAULT 0,","weight REAL,",description TEXT
Haramaki,armour,3,1,-1,0,0,20,30,1,"""Also called a belly-warmer, a haramaki is a simple silken sash lined with chainmail or articulated metal plates and tied about the stomach to protect it."""
Padded,armour,5,1,8,0,5,20,30,10,"""More than simple clothing, padded armor combines heavy, quilted cloth and layers of densely packed stuffing to create a cheap and basic protection. It is typically worn by those not intending to face lethal combat or those who wish their maneuverability to be impacted as little as possible."""
Quilted cloth,armour,100,1,8,0,10,20,30,15,"""This enhanced form of padded armor has internal layers specifically designed to trap arrows, bolts, darts, shuriken, thrown daggers, and other small ranged piercing weapons. When these kinds of weapons strike you, they tend to become snagged in these layers and fail to harm you. Wearing quilted cloth armor gives you DR 3/— against attacks of this kind. The special layers of the armor have no effect on other kinds of weapons."""
Silken ceremonial,armour,30,1,-1,0,0,20,30,4,"""Used for ceremonial displays or occasionally worn (albeit with no additional benefit) over heavier armor, these robes consist of several layers of cloth and an outer layer of silk intricately woven with gold brocade designs and covered with metal studs."""
Lamellar cuirass,armour,15,2,4,0,5,20,30,8,"""This armor consists of a light breastplate and shoulder guards made from lacquered leather plates bound together and fitted over a silk shirt."""
Leather,armour,10,2,6,0,10,20,30,15,"""Leather armor is made up of multiple overlapping pieces of leather, boiled to increase their natural toughness and then deliberately stitched together. Although not as sturdy as metal armor, the flexibility it allows wearers makes it among the most widely used types of armor."""
Parade,armour,25,3,5,–1,15,20,30,20,"""Most wealthy countries with standing armies have a different uniform for use in showy noncombat situations such as parades, coronation ceremonies, and so on. The appearance of this armor varies by the country of origin and the branch of the military, but still provides some protection in case the soldier needs to fight while in parade dress. For example, one country's parade armor may be a chain shirt, tabard, leather greaves, and a winged helm. If you're wearing a country's parade armor, you gain a +2 circumstance bonus on Diplomacy and Intimidate checks to influence a person from that country. Depending on the country, parade armor may be crafted from leather, metal, or a mixture of both."""
Studded leather,armour,25,3,5,–1,15,20,30,20,"""An improved form of leather armor, studded leather armor is covered with dozens of metal protuberances. While these rounded studs offer little defense individually, in the numbers they are arrayed in upon such armor, they help catch lethal edges and channel them away from vital spots. The rigidity caused by the additional metal does, however, result in less mobility than is afforded by a suit of normal leather armor."""
Wooden,armour,20,3,3,–1,15,20,30,25,"""This suit of leather armor has plates of fire-treated wood sewn over vital areas. Though not as effective as metal armor, it offers better protection than leather alone. Unlike metal armor, the wood is slightly buoyant, and the armor check penalty for swimming in this armor is 0."""
Chain shirt,armour,100,4,4,–2,20,20,30,25,"""Covering the torso, this shirt is made up of thousands of interlocking metal rings."""
